"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"9",721.709027777778,252,219,1978.54601,1928.85518,3,10,2.74147327225789,"SEQ","AUDUSD","2 hours","40/20/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"20",721.709027777778,240,210,1606.93538044918,6000,3,6.63245119952672,2.22656959882726,"SEQ","AUDUSD","2 hours","40/10/5/-1.45/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"19",721.709027777778,211,182,1505.71014751009,6000,3,6.63245119952672,2.08631192011875,"SEQ","AUDUSD","2 hours","40/10/5/-1.5/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"10",721.709027777778,203,177,1711.50550999996,1599.86788999999,3,10,2.37146196614704,"SEQ","AUDUSD","2 hours","40/25/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"11",721.709027777778,165,146,1324.50891000001,1599.86788999999,3,10,1.83523949267798,"SEQ","AUDUSD","2 hours","40/30/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"18",721.709027777778,136,121,1673.50986999997,795.631399999999,3,10,2.31881520888396,"SEQ","AUDUSD","1 day","40/10/7/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","2 hours","10/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","2 hours","20/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","2 hours","30/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"14",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","30 mins","40/10/3/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"31",0,0,0,0,0,0,0,0,"SEQ","AUDUSD","2 hours","40/10/5/-0.9/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"210",721.709027777778,1889,1454,21478.279184079,6000,4,7.96288206573384,29.7603027777177,"SEQ","AUDUSD","5 mins","20/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"231",721.709027777778,1720,1448,7599.04889877105,6000,5,3.76135495465063,10.5292418499591,"SEQ","AUDUSD","5 mins","40/10/1/-0.95/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"211",721.709027777778,1563,1317,8498.38379012938,6000,4,3.70510039390043,11.7753602394262,"SEQ","AUDUSD","5 mins","40/10/1/-1.05/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"61",721.709027777778,1530,1297,11626.9480927691,6000,4,7.4838565729864,16.1102988119323,"SEQ","AUDUSD","5 mins","40/5/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"201",721.709027777778,1500,1268,11402.7911289103,6000,4,7.00110971672992,15.7997069317821,"SEQ","AUDUSD","5 mins","40/10/1/-1.1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"261",721.709027777778,1502,1263,7702.89438487624,6000,5,3.57480894694243,10.6731301513496,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/30/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"310",721.709027777778,1514,1235,7923.79421343071,6000,5,4.87851613440086,10.9792089449524,"SEQ","AUDUSD","5 mins","30/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
