"","currency","event","actual","forecast","previous","impact","DateUTC"
"12790","USD","CB Leading Index m/m","-0.4%","-0.5%","-0.3%","yellow","2023-09-21 08:00:00"
"12791","USD","Natural Gas Storage","64B","65B","57B","yellow","2023-09-21 06:30:00"
"12792","NZD","Westpac Consumer Sentiment","80.2","","83.1","yellow","2023-09-21 12:27:00"
"12793","NZD","Trade Balance","-2291M","-351M","-1177M","yellow","2023-09-21 14:45:00"
"12794","AUD","Flash Manufacturing PMI","48.2","","49.6","yellow","2023-09-21 15:00:00"
"12795","AUD","Flash Services PMI","50.5","","47.8","yellow","2023-09-21 08:00:00"
"12796","GBP","GfK Consumer Confidence","-21","-26","-25","yellow","2023-09-21 15:01:00"
"12797","JPY","National Core CPI y/y","3.1%","3.0%","3.1%","yellow","2023-09-21 15:30:00"
"12798","JPY","Flash Manufacturing PMI","48.6","49.9","49.6","yellow","2023-09-21 16:30:00"
"12799","JPY","Monetary Policy Statement","","","","red","2023-09-21 18:52:00"
"12800","JPY","BOJ Policy Rate","-0.10%","-0.10%","-0.10%","orange","2023-09-21 08:00:00"
"12801","GBP","Retail Sales m/m","0.4%","0.5%","-1.1%","red","2023-09-21 22:00:00"
"12802","JPY","BOJ Press Conference","","","","red","2023-09-21 22:30:00"
"12803","EUR","French Flash Manufacturing PMI","43.6","46.2","46.0","red","2023-09-21 23:15:00"
"12804","EUR","French Flash Services PMI","43.9","46.0","46.0","red","2023-09-22 08:00:00"
"12805","EUR","German Flash Manufacturing PMI","39.8","39.5","39.1","red","2023-09-21 23:30:00"
"12806","EUR","German Flash Services PMI","49.8","47.2","47.3","red","2023-09-22 08:00:00"
"12807","EUR","Flash Manufacturing PMI","43.4","44.0","43.5","orange","2023-09-22 00:00:00"
"12808","EUR","Flash Services PMI","48.4","47.7","47.9","orange","2023-09-22 08:00:00"
"12809","GBP","Flash Manufacturing PMI","44.2","43.3","43.0","red","2023-09-22 00:30:00"
"12810","GBP","Flash Services PMI","47.2","49.3","49.5","red","2023-09-22 08:00:00"
"12811","GBP","CBI Industrial Order Expectations","-18","-16","-15","yellow","2023-09-22 02:00:00"
"12812","CAD","Core Retail Sales m/m","1.0%","0.5%","-0.7%","orange","2023-09-22 04:30:00"
"12813","CAD","Retail Sales m/m","0.3%","0.4%","0.1%","orange","2023-09-22 08:00:00"
"12814","USD","FOMC Member Cook Speaks","","","","yellow","2023-09-22 04:50:00"
"12815","USD","Flash Manufacturing PMI","48.9","48.2","47.9","red","2023-09-22 05:45:00"
"12816","USD","Flash Services PMI","50.2","50.7","50.5","red","2023-09-22 08:00:00"
"12817","USD","FOMC Member Kashkari Speaks","","","","yellow","2023-09-22 09:00:00"
"12818","NZD","Daylight Saving Time Shift","","","","grey","2023-09-23 06:00:00"
"12819","JPY","BOJ Gov Ueda Speaks","","","","red","2023-09-24 21:35:00"
"12820","EUR","German ifo Business Climate","85.7","85.1","85.8","red","2023-09-25 00:00:00"
"12821","GBP","CBI Realized Sales","-14","-33","-44","yellow","2023-09-25 02:00:00"
"12822","EUR","ECB President Lagarde Speaks","","","","orange","2023-09-25 05:00:00"
"12823","EUR","Belgian NBB Business Climate","-14.4","-10.3","-14.9","yellow","2023-09-25 08:00:00"
"12824","USD","FOMC Member Kashkari Speaks","","","","yellow","2023-09-25 14:00:00"
"12825","JPY","SPPI y/y","2.1%","1.8%","1.7%","yellow","2023-09-25 15:50:00"
"12826","JPY","BOJ Core CPI y/y","3.3%","3.2%","3.3%","yellow","2023-09-25 21:00:00"
"12827","GBP","10-y Bond Auction","4.32|2.6","","4.40|2.4","yellow","2023-09-26 01:02:00"
"12828","CNY","CB Leading Index m/m","-0.3%","","-0.5%","yellow","2023-09-26 05:00:00"
"12829","USD","HPI m/m","0.8%","0.4%","0.4%","yellow","2023-09-26 08:00:00"
"12830","USD","S&P/CS Composite-20 HPI y/y","0.1%","0.0%","-1.2%","orange","2023-09-26 05:03:00"
"12831","USD","Richmond Manufacturing Index","5","-6","-7","orange","2023-09-26 05:59:00"
"12832","USD","CB Consumer Confidence","103.0","105.5","108.7","red","2023-09-26 06:00:00"
"12833","USD","New Home Sales","675K","699K","739K","orange","2023-09-26 08:00:00"
"12834","USD","FOMC Member Bowman Speaks","","","","yellow","2023-09-26 09:30:00"
"12835","JPY","Monetary Policy Meeting Minutes","","","","yellow","2023-09-26 15:50:00"
"12836","AUD","CPI y/y","","5.2%","4.9%","red","2023-09-26 17:30:00"
"12837","EUR","German GfK Consumer Climate","","-25.8","-25.5","yellow","2023-09-26 22:00:00"
"12838","CHF","Credit Suisse Economic Expectations","","","-38.6","yellow","2023-09-27 00:00:00"
"12839","EUR","M3 Money Supply y/y","","-1.1%","-0.4%","yellow","2023-09-27 08:00:00"
"12840","EUR","Private Loans y/y","","1.2%","1.3%","yellow","2023-09-27 08:00:00"
"12841","EUR","German 10-y Bond Auction","","","2.63|1.7","yellow","2023-09-27 08:00:00"
"12842","USD","Core Durable Goods Orders m/m","","0.2%","0.4%","orange","2023-09-27 04:30:00"
"12843","USD","Durable Goods Orders m/m","","-0.5%","-5.2%","orange","2023-09-27 08:00:00"
"12844","CHF","SNB Quarterly Bulletin","","","","yellow","2023-09-27 05:00:00"
"12845","USD","Crude Oil Inventories","","-0.7M","-2.1M","yellow","2023-09-27 06:30:00"
"12846","CHF","SNB Chairman Jordan Speaks","","","","orange","2023-09-27 08:45:00"
"12847","NZD","ANZ Business Confidence","","","-3.7","yellow","2023-09-27 16:00:00"
"12848","AUD","Retail Sales m/m","","0.3%","0.5%","orange","2023-09-27 17:30:00"
"12849","EUR","German Prelim CPI m/m","","0.3%","0.3%","red","2023-09-28 08:00:00"
"12850","EUR","Spanish Flash CPI y/y","","3.5%","2.6%","red","2023-09-27 23:00:00"
"12851","EUR","ECB Economic Bulletin","","","","yellow","2023-09-28 00:00:00"
"12852","EUR","Italian 10-y Bond Auction","","","4.20|1.6","yellow","2023-09-28 08:00:00"
"12853","USD","Final GDP q/q","","2.2%","2.1%","red","2023-09-28 04:30:00"
"12854","USD","Unemployment Claims","","214K","201K","red","2023-09-28 08:00:00"
"12855","USD","Final GDP Price Index q/q","","2.0%","2.0%","orange","2023-09-28 08:00:00"
"12856","USD","FOMC Member Goolsbee Speaks","","","","yellow","2023-09-28 05:00:00"
"12857","USD","Pending Home Sales m/m","","-1.1%","0.9%","orange","2023-09-28 06:00:00"
"12858","USD","Natural Gas Storage","","90B","64B","yellow","2023-09-28 06:30:00"
"12859","USD","FOMC Member Cook Speaks","","","","yellow","2023-09-28 09:00:00"
"12860","USD","Fed Chair Powell Speaks","","","","red","2023-09-28 12:00:00"
"12861","JPY","Tokyo Core CPI y/y","","2.6%","2.8%","orange","2023-09-28 15:30:00"
"12862","JPY","Unemployment Rate","","2.6%","2.7%","yellow","2023-09-28 08:00:00"
"12863","JPY","Prelim Industrial Production m/m","","-0.7%","-1.8%","yellow","2023-09-28 15:50:00"
"12864","JPY","Retail Sales y/y","","6.6%","6.8%","yellow","2023-09-28 08:00:00"
"12865","CNY","Bank Holiday","","","","grey","2023-09-28 08:00:00"
"12866","AUD","Private Sector Credit m/m","","0.3%","0.3%","yellow","2023-09-28 17:30:00"
"12867","JPY","Consumer Confidence","","36.2","36.2","yellow","2023-09-28 21:00:00"
"12868","JPY","Housing Starts y/y","","-8.7%","-6.7%","yellow","2023-09-29 08:00:00"
"12869","EUR","German Import Prices m/m","","0.6%","-0.6%","yellow","2023-09-28 22:00:00"
"12870","EUR","German Retail Sales m/m","","0.5%","-0.8%","yellow","2023-09-29 08:00:00"
"12871","GBP","Current Account","","-14.5B","-10.8B","yellow","2023-09-29 08:00:00"
"12872","GBP","Final GDP q/q","","0.2%","0.2%","yellow","2023-09-29 08:00:00"
"12873","GBP","Revised Business Investment q/q","","3.2%","3.4%","yellow","2023-09-29 08:00:00"
"12874","EUR","French Consumer Spending m/m","","-0.4%","0.3%","yellow","2023-09-28 22:45:00"
"12875","EUR","French Prelim CPI m/m","","-0.3%","1.0%","yellow","2023-09-29 08:00:00"
"12876","CHF","KOF Economic Barometer","","90.6","91.1","yellow","2023-09-28 23:00:00"
"12877","EUR","ECB President Lagarde Speaks","","","","orange","2023-09-28 23:40:00"
"12878","EUR","German Unemployment Change","","15K","18K","yellow","2023-09-28 23:55:00"
"12879","GBP","M4 Money Supply m/m","","0.2%","-0.5%","yellow","2023-09-29 00:30:00"
"12880","GBP","Mortgage Approvals","","48K","49K","yellow","2023-09-29 08:00:00"
"12881","GBP","Net Lending to Individuals m/m","","1.5B","1.4B","yellow","2023-09-29 08:00:00"
"12882","EUR","Core CPI Flash Estimate y/y","","4.8%","5.3%","orange","2023-09-29 01:00:00"
"12883","EUR","CPI Flash Estimate y/y","","4.5%","5.2%","orange","2023-09-29 08:00:00"
"12884","EUR","Italian Prelim CPI m/m","","-0.1%","0.3%","yellow","2023-09-29 08:00:00"
"12885","CAD","GDP m/m","","0.1%","-0.2%","red","2023-09-29 04:30:00"
"12886","USD","Core PCE Price Index m/m","","0.2%","0.2%","red","2023-09-29 08:00:00"
"12887","USD","Goods Trade Balance","","-91.2B","-90.9B","yellow","2023-09-29 08:00:00"
"12888","USD","Personal Income m/m","","0.4%","0.2%","yellow","2023-09-29 08:00:00"
"12889","USD","Personal Spending m/m","","0.5%","0.8%","yellow","2023-09-29 08:00:00"
"12890","USD","Prelim Wholesale Inventories m/m","","-0.1%","-0.2%","yellow","2023-09-29 08:00:00"
"12891","USD","Chicago PMI","","47.5","48.7","orange","2023-09-29 05:45:00"
"12892","USD","Revised UoM Consumer Sentiment","","67.7","67.7","red","2023-09-29 06:00:00"
"12893","USD","Revised UoM Inflation Expectations","","","3.1%","yellow","2023-09-29 08:00:00"
"12894","USD","FOMC Member Williams Speaks","","","","orange","2023-09-29 08:45:00"
"12895","CNY","Manufacturing PMI","","50.2","49.7","red","2023-09-29 17:30:00"
"12896","CNY","Non-Manufacturing PMI","","51.5","51.0","orange","2023-09-29 08:00:00"
"12897","GBP","MPC Member Cunliffe Speaks","","","","yellow","2023-09-30 06:00:00"
"12898","AUD","Daylight Saving Time Shift","","","","grey","2023-09-30 08:00:00"
"12899","CNY","Caixin Manufacturing PMI","","51.1","51.0","orange","2023-09-30 17:45:00"
"12900","CNY","Caixin Services PMI","","52.0","51.8","orange","2023-09-30 08:00:00"
"12901","AUD","Bank Holiday","","","","grey","2023-10-01 08:00:00"
"12902","NZD","Building Consents m/m","","","-5.2%","yellow","2023-10-01 13:45:00"
"12903","JPY","BOJ Summary of Opinions","","","","yellow","2023-10-01 15:50:00"
"12904","JPY","Tankan Manufacturing Index","","","5","yellow","2023-10-01 08:00:00"
"12905","JPY","Tankan Non-Manufacturing Index","","","23","yellow","2023-10-01 08:00:00"
"12906","AUD","MI Inflation Gauge m/m","","","0.2%","yellow","2023-10-01 16:00:00"
"12907","CNY","Bank Holiday","","","","grey","2023-10-01 08:00:00"
"12908","JPY","Final Manufacturing PMI","","","48.6","yellow","2023-10-01 16:30:00"
"12909","AUD","Commodity Prices y/y","","","-23.2%","yellow","2023-10-01 21:30:00"
"12910","GBP","Nationwide HPI m/m","","-0.4%","-0.8%","yellow","2023-10-01 22:00:00"
"12911","CHF","Retail Sales y/y","","","-2.2%","yellow","2023-10-01 22:30:00"
"12912","EUR","Spanish Unemployment Change","","","24.8K","yellow","2023-10-01 23:00:00"
"12913","EUR","Spanish Manufacturing PMI","","","46.5","yellow","2023-10-01 23:15:00"
"12914","CHF","Manufacturing PMI","","","39.9","yellow","2023-10-01 23:30:00"
"12915","EUR","Italian Manufacturing PMI","","","45.4","yellow","2023-10-01 23:45:00"
"12916","EUR","French Final Manufacturing PMI","","","43.6","yellow","2023-10-01 23:50:00"
"12917","EUR","German Final Manufacturing PMI","","","39.8","yellow","2023-10-01 23:55:00"
"12918","EUR","Final Manufacturing PMI","","","43.4","yellow","2023-10-02 00:00:00"
"12919","EUR","Italian Monthly Unemployment Rate","","","7.6%","yellow","2023-10-02 08:00:00"
"12920","GBP","Final Manufacturing PMI","","","44.2","yellow","2023-10-02 00:30:00"
"12921","EUR","Unemployment Rate","","","6.4%","yellow","2023-10-02 01:00:00"
"12922","CAD","Bank Holiday","","","","grey","2023-10-02 08:00:00"
"12923","CAD","Manufacturing PMI","","","48.0","yellow","2023-10-02 05:30:00"
"12924","USD","Final Manufacturing PMI","","","48.9","yellow","2023-10-02 05:45:00"
"12925","USD","ISM Manufacturing PMI","","","47.6","red","2023-10-02 06:00:00"
"12926","USD","ISM Manufacturing Prices","","","48.4","orange","2023-10-02 08:00:00"
"12927","USD","Construction Spending m/m","","","0.7%","yellow","2023-10-02 08:00:00"
"12928","NZD","NZIER Business Confidence","","","","yellow","2023-10-02 08:00:00"
"12929","GBP","BRC Shop Price Index y/y","","","6.9%","yellow","2023-10-02 15:01:00"
"12930","JPY","Monetary Base y/y","","","1.2%","yellow","2023-10-02 15:50:00"
"12931","CNY","Bank Holiday","","","","grey","2023-10-02 08:00:00"
"12932","AUD","ANZ Job Advertisements m/m","","","1.9%","yellow","2023-10-02 16:30:00"
"12933","AUD","Building Approvals m/m","","","-8.1%","yellow","2023-10-02 08:00:00"
"12934","AUD","Cash Rate","","4.10%","4.10%","red","2023-10-02 19:30:00"
"12935","AUD","RBA Rate Statement","","","","red","2023-10-02 08:00:00"
"12936","JPY","10-y Bond Auction","","","0.66|4.0","yellow","2023-10-02 19:35:00"
"12937","CHF","CPI m/m","","","0.2%","red","2023-10-02 22:30:00"
"12938","EUR","French Gov Budget Balance","","","-169.0B","yellow","2023-10-02 22:45:00"
"12939","EUR","German Bank Holiday","","","","grey","2023-10-03 08:00:00"
"12940","USD","JOLTS Job Openings","","","8.83M","red","2023-10-03 06:00:00"
"12941","USD","IBD/TIPP Economic Optimism","","","43.2","yellow","2023-10-03 08:00:00"
"12942","USD","Wards Total Vehicle Sales","","","15.0M","yellow","2023-10-03 08:00:00"
"12943","NZD","GDT Price Index","","","4.6%","yellow","2023-10-03 08:00:00"
"12944","CNY","Bank Holiday","","","","grey","2023-10-03 08:00:00"
"12945","NZD","Official Cash Rate","","","5.50%","red","2023-10-03 17:00:00"
"12946","NZD","RBNZ Rate Statement","","","","red","2023-10-03 08:00:00"
"12947","EUR","Spanish Services PMI","","","49.3","yellow","2023-10-03 23:15:00"
"12948","EUR","Italian Services PMI","","","49.8","yellow","2023-10-03 23:45:00"
"12949","EUR","French Final Services PMI","","","43.9","yellow","2023-10-03 23:50:00"
"12950","EUR","German Final Services PMI","","","49.8","yellow","2023-10-03 23:55:00"
"12951","EUR","Final Services PMI","","","48.4","yellow","2023-10-04 00:00:00"
"12952","GBP","Final Services PMI","","","47.2","yellow","2023-10-04 00:30:00"
"12953","EUR","PPI m/m","","","-0.5%","yellow","2023-10-04 01:00:00"
"12954","EUR","Retail Sales m/m","","","-0.2%","yellow","2023-10-04 08:00:00"
"12955","All","OPEC-JMMC Meetings","","","","orange","2023-10-04 08:00:00"
"12956","USD","ADP Non-Farm Employment Change","","","177K","red","2023-10-04 04:15:00"
"12957","USD","Final Services PMI","","","50.2","yellow","2023-10-04 05:45:00"
"12958","USD","ISM Services PMI","","","54.5","red","2023-10-04 06:00:00"
"12959","USD","Factory Orders m/m","","","-2.1%","yellow","2023-10-04 08:00:00"
"12960","USD","Crude Oil Inventories","","","","yellow","2023-10-04 06:30:00"
"12961","NZD","ANZ Commodity Prices m/m","","","-2.9%","yellow","2023-10-04 16:00:00"
"12962","CNY","Bank Holiday","","","","grey","2023-10-04 08:00:00"
"12963","AUD","Trade Balance","","","8.04B","yellow","2023-10-04 16:30:00"
"12964","JPY","30-y Bond Auction","","","1.64|3.5","yellow","2023-10-04 19:35:00"
"12965","EUR","German Trade Balance","","","15.9B","yellow","2023-10-04 22:00:00"
"12966","EUR","French Industrial Production m/m","","","0.8%","yellow","2023-10-04 22:45:00"
"12967","GBP","Construction PMI","","","50.8","orange","2023-10-05 00:30:00"
"12968","GBP","Housing Equity Withdrawal q/q","","","-22.9B","yellow","2023-10-05 08:00:00"
"12969","EUR","Spanish 10-y Bond Auction","","","","yellow","2023-10-05 08:00:00"
"12970","EUR","French 10-y Bond Auction","","","","yellow","2023-10-05 08:00:00"
"12971","USD","Challenger Job Cuts y/y","","","266.9%","yellow","2023-10-05 03:30:00"
"12972","CAD","Trade Balance","","","-1.0B","yellow","2023-10-05 04:30:00"
"12973","USD","Unemployment Claims","","","","red","2023-10-05 08:00:00"
"12974","USD","Trade Balance","","","-65.0B","yellow","2023-10-05 08:00:00"
"12975","CAD","Ivey PMI","","","53.5","orange","2023-10-05 06:00:00"
"12976","USD","Natural Gas Storage","","","","yellow","2023-10-05 06:30:00"
"12977","JPY","Average Cash Earnings y/y","","","1.3%","yellow","2023-10-05 15:30:00"
"12978","JPY","Household Spending y/y","","","-5.0%","yellow","2023-10-05 08:00:00"
"12979","CNY","Bank Holiday","","","","grey","2023-10-05 08:00:00"
"12980","AUD","RBA Financial Stability Review","","","","yellow","2023-10-05 16:30:00"
"12981","JPY","Leading Indicators","","","107.6%","yellow","2023-10-05 21:00:00"
"12982","CHF","Unemployment Rate","","","2.1%","yellow","2023-10-05 21:45:00"
"12983","EUR","German Factory Orders m/m","","","-11.7%","yellow","2023-10-05 22:00:00"
"12984","GBP","Halifax HPI m/m","","","-1.9%","yellow","2023-10-06 08:00:00"
"12985","EUR","French Trade Balance","","","-8.1B","yellow","2023-10-05 22:45:00"
"12986","CHF","Foreign Currency Reserves","","","694B","orange","2023-10-05 23:00:00"
"12987","EUR","Italian Retail Sales m/m","","","0.4%","yellow","2023-10-06 00:00:00"
"12988","CAD","Employment Change","","","39.9K","red","2023-10-06 04:30:00"
"12989","CAD","Unemployment Rate","","","5.5%","red","2023-10-06 08:00:00"
"12990","USD","Average Hourly Earnings m/m","","","0.2%","red","2023-10-06 08:00:00"
"12991","USD","Non-Farm Employment Change","","","187K","red","2023-10-06 08:00:00"
"12992","USD","Unemployment Rate","","","3.8%","red","2023-10-06 08:00:00"
"12993","USD","Consumer Credit m/m","","","10.4B","yellow","2023-10-06 11:00:00"
"12994","JPY","Bank Holiday","","","","grey","2023-10-08 08:00:00"
"12995","EUR","German Industrial Production m/m","","","-0.8%","yellow","2023-10-08 22:00:00"
"12996","EUR","Sentix Investor Confidence","","","-21.5","yellow","2023-10-09 00:30:00"
"12997","CAD","Bank Holiday","","","","grey","2023-10-09 08:00:00"
"12998","USD","Bank Holiday","","","","grey","2023-10-09 08:00:00"
"12999","All","IMF Meetings","","","","yellow","2023-10-09 08:00:00"
"13000","GBP","BRC Retail Sales Monitor y/y","","","4.3%","yellow","2023-10-09 15:01:00"
"13001","AUD","Westpac Consumer Sentiment","","","-1.5%","yellow","2023-10-09 15:30:00"
"13002","JPY","Current Account","","","2.77T","yellow","2023-10-09 15:50:00"
"13003","AUD","NAB Business Confidence","","","2","orange","2023-10-09 16:30:00"
"13004","JPY","Economy Watchers Sentiment","","","53.6","yellow","2023-10-09 21:00:00"
"13005","JPY","Prelim Machine Tool Orders y/y","","","","yellow","2023-10-09 22:00:00"
"13006","EUR","Italian Industrial Production m/m","","","-0.7%","yellow","2023-10-10 00:00:00"
"13007","CNY","New Loans","","","1360B","orange",NA
"13008","CNY","M2 Money Supply y/y","","","10.6%","yellow",NA
"13009","USD","NFIB Small Business Index","","","91.3","yellow","2023-10-10 02:00:00"
"13010","USD","Final Wholesale Inventories m/m","","","","yellow","2023-10-10 06:00:00"
"13011","All","IMF Meetings","","","","yellow","2023-10-10 08:00:00"
"13012","NZD","Visitor Arrivals m/m","","","19.8%","yellow","2023-10-10 13:45:00"
"13013","EUR","German Final CPI m/m","","","","yellow","2023-10-10 22:00:00"
"13014","EUR","German 30-y Bond Auction","","","2.79|2.3","yellow","2023-10-11 08:00:00"
"13015","CAD","Building Permits m/m","","","-1.5%","yellow","2023-10-11 04:30:00"
"13016","USD","Core PPI m/m","","","0.2%","red","2023-10-11 08:00:00"
"13017","USD","PPI m/m","","","0.7%","red","2023-10-11 08:00:00"
"13018","All","IMF Meetings","","","","yellow","2023-10-11 08:00:00"
"13019","USD","10-y Bond Auction","","","4.29|2.5","yellow","2023-10-11 09:01:00"
"13020","USD","FOMC Meeting Minutes","","","","red","2023-10-11 10:00:00"
"13021","NZD","FPI m/m","","","0.5%","yellow","2023-10-11 13:45:00"
"13022","GBP","RICS House Price Balance","","","-68%","yellow","2023-10-11 15:01:00"
"13023","JPY","Bank Lending y/y","","","3.1%","yellow","2023-10-11 15:50:00"
"13024","JPY","Core Machinery Orders m/m","","","-1.1%","yellow","2023-10-11 08:00:00"
"13025","JPY","PPI y/y","","","3.2%","yellow","2023-10-11 08:00:00"
"13026","AUD","MI Inflation Expectations","","","4.6%","yellow","2023-10-11 16:00:00"
"13027","GBP","GDP m/m","","","-0.5%","red","2023-10-11 22:00:00"
"13028","GBP","Construction Output m/m","","","-0.5%","yellow","2023-10-12 08:00:00"
"13029","GBP","Goods Trade Balance","","","-14.1B","yellow","2023-10-12 08:00:00"
"13030","GBP","Index of Services 3m/3m","","","0.1%","yellow","2023-10-12 08:00:00"
"13031","GBP","Industrial Production m/m","","","-0.7%","yellow","2023-10-12 08:00:00"
"13032","GBP","Manufacturing Production m/m","","","-0.8%","yellow","2023-10-12 08:00:00"
"13033","EUR","German WPI m/m","","","0.2%","yellow",NA
"13034","GBP","FPC Meeting Minutes","","","","yellow","2023-10-12 08:00:00"
"13035","GBP","FPC Statement","","","","yellow","2023-10-12 08:00:00"
"13036","GBP","BOE Credit Conditions Survey","","","","yellow","2023-10-12 00:30:00"
"13037","EUR","ECB Monetary Policy Meeting Accounts","","","","yellow","2023-10-12 03:30:00"
"13038","USD","Core CPI m/m","","","0.3%","red","2023-10-12 04:30:00"
"13039","USD","CPI m/m","","","0.6%","red","2023-10-12 08:00:00"
"13040","USD","CPI y/y","","","3.7%","red","2023-10-12 08:00:00"
"13041","USD","Unemployment Claims","","","","red","2023-10-12 08:00:00"
"13042","GBP","NIESR GDP Estimate","","","0.2%","yellow","2023-10-12 08:00:00"
"13043","All","IMF Meetings","","","","yellow","2023-10-12 08:00:00"
"13044","USD","Natural Gas Storage","","","","yellow","2023-10-12 06:30:00"
"13045","USD","Crude Oil Inventories","","","","yellow","2023-10-12 07:00:00"
"13046","USD","30-y Bond Auction","","","4.35|2.5","yellow","2023-10-12 09:01:00"
"13047","USD","Federal Budget Balance","","","89.3B","yellow","2023-10-12 10:00:00"
"13048","NZD","BusinessNZ Manufacturing Index","","","46.1","yellow","2023-10-12 13:30:00"
"13049","JPY","M2 Money Stock y/y","","","2.5%","yellow","2023-10-12 15:50:00"
"13050","CNY","CPI y/y","","","0.1%","red","2023-10-12 17:30:00"
"13051","CNY","PPI y/y","","","-3.0%","orange","2023-10-12 08:00:00"
"13052","CNY","Trade Balance","","","488B","yellow","2023-10-12 08:00:00"
"13053","CNY","USD-Denominated Trade Balance","","","68.4B","yellow","2023-10-12 08:00:00"
"13054","CHF","PPI m/m","","","-0.2%","yellow","2023-10-12 22:30:00"
"13055","EUR","French Final CPI m/m","","","","yellow","2023-10-12 22:45:00"
"13056","EUR","Industrial Production m/m","","","-1.1%","yellow","2023-10-13 01:00:00"
"13057","USD","Import Prices m/m","","","0.5%","yellow","2023-10-13 04:30:00"
"13058","GBP","CB Leading Index m/m","","","-0.8%","yellow","2023-10-13 05:30:00"
"13059","USD","Prelim UoM Consumer Sentiment","","","67.7","red","2023-10-13 06:00:00"
"13060","USD","Prelim UoM Inflation Expectations","","","3.1%","orange","2023-10-13 08:00:00"
"13061","All","IMF Meetings","","","","yellow","2023-10-13 08:00:00"
"13062","All","IMF Meetings","","","","yellow","2023-10-14 08:00:00"
"13063","All","IMF Meetings","","","","yellow","2023-10-15 08:00:00"
"13064","NZD","BusinessNZ Services Index","","","","yellow","2023-10-15 13:30:00"
"13065","GBP","Rightmove HPI m/m","","","","yellow","2023-10-15 15:01:00"
"13066","JPY","Revised Industrial Production m/m","","","","yellow","2023-10-15 20:30:00"
"13067","CNY","Foreign Direct Investment ytd/y","","","","yellow","2023-10-16 08:00:00"
"13068","EUR","Italian Trade Balance","","","","yellow","2023-10-16 00:00:00"
"13069","EUR","Trade Balance","","","","yellow","2023-10-16 01:00:00"
"13070","EUR","Eurogroup Meetings","","","","yellow","2023-10-16 08:00:00"
"13071","CAD","Manufacturing Sales m/m","","","","yellow","2023-10-16 04:30:00"
"13072","CAD","Wholesale Sales m/m","","","","yellow","2023-10-16 08:00:00"
"13073","USD","Empire State Manufacturing Index","","","","red","2023-10-16 08:00:00"
"13074","CAD","BOC Business Outlook Survey","","","","orange","2023-10-16 06:30:00"
"13075","AUD","Monetary Policy Meeting Minutes","","","","red","2023-10-16 16:30:00"
"13076","CNY","Industrial Production y/y","","","","red","2023-10-16 18:00:00"
"13077","CNY","GDP q/y","","","","orange","2023-10-16 08:00:00"
"13078","CNY","Retail Sales y/y","","","","orange","2023-10-16 08:00:00"
"13079","CNY","Fixed Asset Investment ytd/y","","","","yellow","2023-10-16 08:00:00"
"13080","CNY","NBS Press Conference","","","","yellow","2023-10-16 08:00:00"
"13081","CNY","Unemployment Rate","","","","yellow","2023-10-16 08:00:00"
"13082","JPY","Tertiary Industry Activity m/m","","","","yellow","2023-10-16 20:30:00"
"13083","CHF","Trade Balance","","","","yellow","2023-10-16 22:00:00"
"13084","GBP","Claimant Count Change","","","","red","2023-10-17 08:00:00"
"13085","GBP","Average Earnings Index 3m/y","","","","orange","2023-10-17 08:00:00"
"13086","GBP","Unemployment Rate","","","","yellow","2023-10-17 08:00:00"
"13087","EUR","German ZEW Economic Sentiment","","","","orange","2023-10-17 01:00:00"
"13088","EUR","ZEW Economic Sentiment","","","","yellow","2023-10-17 08:00:00"
"13089","EUR","ECOFIN Meetings","","","","yellow","2023-10-17 08:00:00"
"13090","CAD","Housing Starts","","","","yellow","2023-10-17 04:15:00"
"13091","CAD","CPI m/m","","","","red","2023-10-17 04:30:00"
"13092","CAD","Median CPI y/y","","","","red","2023-10-17 08:00:00"
"13093","CAD","Trimmed CPI y/y","","","","red","2023-10-17 08:00:00"
"13094","CAD","Common CPI y/y","","","","orange","2023-10-17 08:00:00"
"13095","CAD","Core CPI m/m","","","","yellow","2023-10-17 08:00:00"
"13096","CAD","Foreign Securities Purchases","","","","yellow","2023-10-17 08:00:00"
"13097","USD","Core Retail Sales m/m","","","","red","2023-10-17 08:00:00"
"13098","USD","Retail Sales m/m","","","","red","2023-10-17 08:00:00"
"13099","USD","Industrial Production m/m","","","","orange","2023-10-17 05:15:00"
"13100","USD","Capacity Utilization Rate","","","","yellow","2023-10-17 08:00:00"
"13101","USD","Business Inventories m/m","","","","yellow","2023-10-17 06:00:00"
"13102","USD","NAHB Housing Market Index","","","","yellow","2023-10-17 08:00:00"
"13103","NZD","GDT Price Index","","","","yellow","2023-10-17 08:00:00"
"13104","USD","TIC Long-Term Purchases","","","","yellow","2023-10-17 12:00:00"
"13105","AUD","MI Leading Index m/m","","","","yellow","2023-10-17 15:30:00"
"13106","GBP","CPI y/y","","","","red","2023-10-17 22:00:00"
"13107","GBP","Core CPI y/y","","","","yellow","2023-10-18 08:00:00"
"13108","GBP","PPI Input m/m","","","","yellow","2023-10-18 08:00:00"
"13109","GBP","PPI Output m/m","","","","yellow","2023-10-18 08:00:00"
"13110","GBP","RPI y/y","","","","yellow","2023-10-18 08:00:00"
"13111","GBP","HPI y/y","","","","yellow","2023-10-18 00:30:00"
"13112","EUR","Final Core CPI y/y","","","","yellow","2023-10-18 01:00:00"
"13113","EUR","Final CPI y/y","","","","yellow","2023-10-18 08:00:00"
"13114","EUR","German 10-y Bond Auction","","","","yellow","2023-10-18 08:00:00"
