"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"542",721.863194444444,1057,892,6386.22489312011,6000,4,3.54279184751636,8.8468631484045,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/30/2","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"99",721.863194444444,1049,890,6027.8165619364,6000,4,3.48491129245427,8.35035863904307,"SEQ","EURJPY","15 mins/1 hour","40/20/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"425",721.863194444444,1051,888,6390.89854412526,6000,4,3.54279184751636,8.85333757602614,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"532",721.863194444444,1051,888,6390.89854412526,6000,4,3.54279184751636,8.85333757602614,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2113",721.863194444444,1036,881,5639.45397074932,6000,4,3.54279184751636,7.81235837226681,"SEQ","EURJPY","15 mins/1 hour","40/25/2/70/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"237",721.863194444444,1039,881,5654.63483381593,6000,4,3.54279184751636,7.83338848321226,"SEQ","EURJPY","15 mins/1 hour","40/25/2/90/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2210",721.863194444444,1038,880,6394.95787502399,6000,4,3.54279184751636,8.85896098352213,"SEQ","EURJPY","15 mins/1 hour","40/25/2/80/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"247",721.863194444444,1037,880,5830.45296483257,6000,4,3.54279184751636,8.07695005051444,"SEQ","EURJPY","15 mins/1 hour","40/25/2/100/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"89",721.863194444444,1029,879,7757.93535085546,6000,4,5.50678835567578,10.7470991879924,"SEQ","EURJPY","15 mins/1 hour","40/15/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"464",721.863194444444,1040,877,6950.58277744972,6000,4,3.54279184751636,9.62867040589177,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/40/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"474",721.863194444444,1032,869,6779.77202843032,6000,4,3.54279184751636,9.39204558510304,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/50/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"483",721.863194444444,1028,864,7749.6637300073,6000,4,3.54279184751636,10.7356404782094,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/60/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"493",721.863194444444,1022,858,7325.91393991764,6000,4,3.54279184751636,10.148618181809,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/70/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"79",721.863194444444,992,852,7306.48059885256,6000,4,5.39111700260365,10.1216970959099,"SEQ","EURJPY","15 mins/1 hour","40/10/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"336",721.863194444444,992,847,7519.42309755779,6000,4,5.28570001432427,10.4166871997745,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/40/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"503",721.863194444444,1003,839,7216.22449868906,6000,4,3.54279184751636,9.99666495566763,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/80/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"69",721.863194444444,970,836,10847.2660000001,3249.60799999996,4,10,15.0267614188978,"SEQ","EURJPY","15 mins/1 hour","40/5/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
